qa_id,source,path,category,question,A,B,C,D,answer,subject_id
training_0219,HAU,HAU/user6/5-1-2,single,Which action is performed in this video?,Undressing,Folding clothes,Using a phone,Standing up,C,user6
training_0220,HAU,HAU/user6/5-1-3,single,Which action is performed in this video?,Using a phone,Writing,Getting dressed,Stirring,A,user6
training_0221,HAU,HAU/user6/5-2-1,single,Which action is performed in this video?,Peeling fruit,Checking the time,Getting dressed,Squats,A,user6
training_0222,HAU,HAU/user6/5-2-2,single,Which action is performed in this video?,Sitting down,Standing up,Walking,Massaging oneself,C,user6
training_0223,HAU,HAU/user6/5-2-3,single,Which action is performed in this video?,Peeling fruit,Brushing teeth,Using a phone,Checking the time,A,user6
training_0224,HAU,HAU/user6/5-3-1,single,Which action is performed in this video?,Brushing teeth,Wiping hands,Wiping surface,Checking the time,D,user6
training_0225,HAU,HAU/user6/5-3-2,single,Which action is performed in this video?,Turning a page,Reading,Checking the time,Stretching,C,user6
training_0226,HAU,HAU/user6/5-3-3,single,Which action is performed in this video?,Wiping hands,Taking medicine,Sweeping,Sitting down,D,user6
training_0227,HAU,HAU/user6/6-1-1,single,Which action is performed in this video?,Calling,Undressing,Jumping jacks,Eating,C,user6
training_0228,HAU,HAU/user6/6-1-2,single,Which action is performed in this video?,Stretching,Jumping jacks,Taking medicine,Eating,B,user6
training_0229,HAU,HAU/user6/6-1-3,single,Which action is performed in this video?,Lunges,Writing,Listening to the music with headphones,Pouring,A,user6
training_0230,HAU,HAU/user6/6-2-1,single,Which action is performed in this video?,Using a phone,Turning a page,Getting dressed,Walking,A,user6
training_0231,HAU,HAU/user6/6-2-2,single,Which action is performed in this video?,Taking medicine,Squats,Listening to the music with headphones,Watching TV,A,user6
training_0232,HAU,HAU/user6/6-2-3,single,Which action is performed in this video?,Reading,Sitting down,Checking body temperature,Calling,C,user6
training_0233,HAU,HAU/user6/7-1-1,single,Which action is performed in this video?,Massaging oneself,Turning a page,Wiping surface,Wiping hands,A,user6
training_0234,HAU,HAU/user6/7-1-2,single,Which action is performed in this video?,Turning a page,Combing hair,Sitting down,Squats,C,user6
training_0235,HAU,HAU/user6/7-1-3,single,Which action is performed in this video?,Massaging oneself,Peeling fruit,Grabbing utensils,Lying down,A,user6
training_0236,HAU,HAU/user6/7-2-1,single,Which action is performed in this video?,Combing hair,Pouring,Playing games,Writing,B,user6
training_0237,HAU,HAU/user6/7-2-2,single,Which action is performed in this video?,Lying down,Grabbing utensils,Checking body temperature,Running,B,user6
training_0238,HAU,HAU/user6/7-2-3,single,Which action is performed in this video?,Grabbing utensils,Undressing,Walking,Listening to the music with headphones,A,user6
training_0239,HAU,HAU/user6/7-3-1,single,Which action is performed in this video?,Reading,Stretching,Lunges,Listening to the music with headphones,A,user6
training_0240,HAU,HAU/user6/7-3-2,single,Which action is performed in this video?,Reading,Checking body temperature,Typing on a keyboard,Using a phone,A,user6
training_0241,HAU,HAU/user6/7-3-3,single,Which action is performed in this video?,Walking,Standing up,Peeling fruit,Massaging oneself,A,user6
training_0242,HAU,HAU/user7/1-1-1,single,Which action is performed in this video?,Playing games,Turning a page,Taking a selfie,Brushing teeth,D,user7
training_0243,HAU,HAU/user7/1-1-2,single,Which action is performed in this video?,Standing up,Using a phone,Wiping hands,Drinking,C,user7
training_0244,HAU,HAU/user7/1-1-3,single,Which action is performed in this video?,Grabbing utensils,Eating,Combing hair,Lunges,C,user7
training_0245,HAU,HAU/user7/1-2-1,single,Which action is performed in this video?,Checking body temperature,Lunges,Wiping hands,Walking,D,user7
training_0246,HAU,HAU/user7/1-2-2,single,Which action is performed in this video?,Mopping,Sitting down,Squats,Lying down,B,user7
training_0247,HAU,HAU/user7/1-2-3,single,Which action is performed in this video?,Lunges,Standing up,Wiping hands,Walking,D,user7
training_0248,HAU,HAU/user7/2-1-1,single,Which action is performed in this video?,Wiping hands,Pouring,Washing dishes,Massaging oneself,B,user7
training_0249,HAU,HAU/user7/2-1-2,single,Which action is performed in this video?,Reading,Stirring,Mopping,Taking a selfie,B,user7
training_0250,HAU,HAU/user7/2-1-3,single,Which action is performed in this video?,Massaging oneself,Pouring,Sitting down,Mopping,B,user7
training_0251,HAU,HAU/user7/2-2-1,single,Which action is performed in this video?,Folding clothes,Lunges,Using a phone,Lying down,D,user7
training_0252,HAU,HAU/user7/2-2-2,single,Which action is performed in this video?,Taking medicine,Lying down,Reading,Combing hair,B,user7
training_0253,HAU,HAU/user7/2-2-3,single,Which action is performed in this video?,Squats,Walking,Stirring,Taking medicine,C,user7
training_0254,HAU,HAU/user7/3-1-1,single,Which action is performed in this video?,Checking body temperature,Sweeping,Massaging oneself,Checking the time,B,user7
training_0255,HAU,HAU/user7/3-1-2,single,Which action is performed in this video?,Running,Eating,Squats,Folding clothes,A,user7
training_0256,HAU,HAU/user7/3-1-3,single,Which action is performed in this video?,Stretching,Brushing teeth,Watching TV,Massaging oneself,A,user7
training_0257,HAU,HAU/user7/3-2-1,single,Which action is performed in this video?,Wiping hands,Using a phone,Stretching,Walking,D,user7
training_0258,HAU,HAU/user7/3-2-2,single,Which action is performed in this video?,Eating,Listening to the music with headphones,Wiping surface,Wiping hands,A,user7
training_0259,HAU,HAU/user7/3-2-3,single,Which action is performed in this video?,Writing,Squats,Grabbing utensils,Wiping surface,C,user7
training_0260,HAU,HAU/user7/3-3-1,single,Which action is performed in this video?,Stirring,Reading,Wiping surface,Washing dishes,C,user7
training_0262,HAU,HAU/user7/3-3-3,single,Which action is performed in this video?,Massaging oneself,Walking,Jumping jacks,Stirring,B,user7
training_0263,HAU,HAU/user7/4-1-1,single,Which action is performed in this video?,Running,Massaging oneself,Taking medicine,Brushing teeth,C,user7
training_0264,HAU,HAU/user7/4-1-2,single,Which action is performed in this video?,Watching TV,Grabbing utensils,Drinking,Taking medicine,D,user7
training_0265,HAU,HAU/user7/4-1-3,single,Which action is performed in this video?,Standing up,Watching TV,Calling,Pouring,A,user7
training_0266,HAU,HAU/user7/5-1-1,single,Which action is performed in this video?,Getting dressed,Lying down,Undressing,Checking the time,C,user7
training_0267,HAU,HAU/user7/5-1-2,single,Which action is performed in this video?,Lying down,Standing up,Undressing,Washing dishes,C,user7
training_0268,HAU,HAU/user7/5-1-3,single,Which action is performed in this video?,Listening to the music with headphones,Reading,Undressing,Taking a selfie,C,user7
training_0269,HAU,HAU/user7/5-2-1,single,Which action is performed in this video?,Stirring,Reading,Running,Mopping,A,user7
training_0270,HAU,HAU/user7/5-2-2,single,Which action is performed in this video?,Sweeping,Undressing,Playing games,Pouring,D,user7
training_0271,HAU,HAU/user7/5-2-3,single,Which action is performed in this video?,Folding clothes,Writing,Pouring,Using a phone,C,user7
training_0272,HAU,HAU/user7/5-3-1,single,Which action is performed in this video?,Eating,Brushing teeth,Massaging oneself,Watching TV,A,user7
training_0273,HAU,HAU/user7/5-3-2,single,Which action is performed in this video?,Sitting down,Undressing,Lunges,Calling,A,user7
training_0274,HAU,HAU/user7/5-3-3,single,Which action is performed in this video?,Sweeping,Washing face,Playing games,Eating,D,user7
training_0275,HAU,HAU/user7/6-1-1,single,Which action is performed in this video?,Using a phone,Combing hair,Lunges,Getting dressed,D,user7
training_0276,HAU,HAU/user7/6-1-2,single,Which action is performed in this video?,Massaging oneself,Reading,Drinking,Getting dressed,D,user7
training_0277,HAU,HAU/user7/6-1-3,single,Which action is performed in this video?,Pouring,Grabbing utensils,Stirring,Getting dressed,D,user7
training_0278,HAU,HAU/user7/6-2-1,single,Which action is performed in this video?,Sweeping,Pouring,Massaging oneself,Listening to the music with headphones,D,user7
training_0279,HAU,HAU/user7/6-2-2,single,Which action is performed in this video?,Combing hair,Grabbing utensils,Reading,Listening to the music with headphones,D,user7
training_0280,HAU,HAU/user7/6-2-3,single,Which action is performed in this video?,Massaging oneself,Stretching,Listening to the music with headphones,Grabbing utensils,C,user7
training_0281,HAU,HAU/user7/6-3-1,single,Which action is performed in this video?,Lunges,Turning a page,Playing games,Sitting down,D,user7
training_0283,HAU,HAU/user7/6-3-3,single,Which action is performed in this video?,Walking,Folding clothes,Washing dishes,Squats,A,user7
training_0284,HAU,HAU/user7/7-1-1,single,Which action is performed in this video?,Checking body temperature,Pouring,Squats,Playing games,A,user7
training_0285,HAU,HAU/user7/7-1-2,single,Which action is performed in this video?,Checking the time,Lunges,Brushing teeth,Checking body temperature,D,user7
training_0286,HAU,HAU/user7/7-1-3,single,Which action is performed in this video?,Using a phone,Mopping,Jumping jacks,Listening to the music with headphones,D,user7
training_0287,HAU,HAU/user7/7-2-1,single,Which action is performed in this video?,Wiping surface,Checking the time,Listening to the music with headphones,Eating,D,user7
training_0288,HAU,HAU/user7/7-2-2,single,Which action is performed in this video?,Writing,Running,Wiping hands,Walking,C,user7
training_0289,HAU,HAU/user7/7-2-3,single,Which action is performed in this video?,Taking medicine,Calling,Eating,Turning a page,C,user7
training_0290,HAU,HAU/user8/1-1-1,single,Which action is performed in this video?,Reading,Wiping surface,Checking the time,Brushing teeth,D,user8
training_0291,HAU,HAU/user8/1-1-2,single,Which action is performed in this video?,Wiping hands,Calling,Checking the time,Taking medicine,A,user8
training_0292,HAU,HAU/user8/1-1-3,single,Which action is performed in this video?,Checking the time,Wiping hands,Peeling fruit,Playing games,B,user8
training_0293,HAU,HAU/user8/1-2-1,single,Which action is performed in this video?,Taking medicine,Listening to the music with headphones,Squats,Folding clothes,B,user8
training_0294,HAU,HAU/user8/1-2-2,single,Which action is performed in this video?,Taking a selfie,Drinking,Typing on a keyboard,Grabbing utensils,A,user8
training_0295,HAU,HAU/user8/1-2-3,single,Which action is performed in this video?,Washing dishes,Drinking,Undressing,Calling,D,user8
training_0296,HAU,HAU/user8/2-1-1,single,Which action is performed in this video?,Grabbing utensils,Washing face,Stirring,Folding clothes,D,user8
training_0297,HAU,HAU/user8/2-1-2,single,Which action is performed in this video?,Reading,Sweeping,Listening to the music with headphones,Taking a selfie,C,user8
training_0298,HAU,HAU/user8/2-1-3,single,Which action is performed in this video?,Combing hair,Washing dishes,Folding clothes,Massaging oneself,C,user8
training_0299,HAU,HAU/user8/2-2-1,single,Which action is performed in this video?,Stretching,Walking,Using a phone,Peeling fruit,B,user8
training_0300,HAU,HAU/user8/2-2-2,single,Which action is performed in this video?,Checking body temperature,Wiping surface,Drinking,Turning a page,B,user8
training_0301,HAU,HAU/user8/2-2-3,single,Which action is performed in this video?,Writing,Walking,Jumping jacks,Lying down,B,user8
training_0302,HAU,HAU/user8/3-1-1,single,Which action is performed in this video?,Sweeping,Writing,Peeling fruit,Lying down,A,user8
training_0303,HAU,HAU/user8/3-1-2,single,Which action is performed in this video?,Checking body temperature,Peeling fruit,Washing dishes,Mopping,D,user8
training_0304,HAU,HAU/user8/3-1-3,single,Which action is performed in this video?,Listening to the music with headphones,Peeling fruit,Sweeping,Drinking,C,user8
training_0305,HAU,HAU/user8/3-2-1,single,Which action is performed in this video?,Washing face,Lying down,Washing dishes,Taking a selfie,C,user8
training_0306,HAU,HAU/user8/3-2-2,single,Which action is performed in this video?,Washing face,Using a phone,Pouring,Taking a selfie,C,user8
training_0307,HAU,HAU/user8/3-2-3,single,Which action is performed in this video?,Mopping,Using a phone,Washing dishes,Running,C,user8
training_0308,HAU,HAU/user8/3-3-1,single,Which action is performed in this video?,Washing dishes,Walking,Calling,Playing games,B,user8
training_0309,HAU,HAU/user8/3-3-2,single,Which action is performed in this video?,Playing games,Lying down,Listening to the music with headphones,Walking,D,user8
training_0310,HAU,HAU/user8/3-3-3,single,Which action is performed in this video?,Squats,Walking,Getting dressed,Sitting down,B,user8
training_0311,HAU,HAU/user8/4-1-1,single,Which action is performed in this video?,Checking body temperature,Pouring,Sitting down,Sweeping,C,user8
training_0312,HAU,HAU/user8/4-1-2,single,Which action is performed in this video?,Getting dressed,Taking medicine,Mopping,Sitting down,D,user8
training_0313,HAU,HAU/user8/4-1-3,single,Which action is performed in this video?,Listening to the music with headphones,Standing up,Squats,Checking body temperature,A,user8
training_0314,HAU,HAU/user8/4-2-1,single,Which action is performed in this video?,Standing up,Stirring,Turning a page,Brushing teeth,B,user8
training_0315,HAU,HAU/user8/4-2-2,single,Which action is performed in this video?,Jumping jacks,Walking,Lunges,Combing hair,B,user8
training_0316,HAU,HAU/user8/4-2-3,single,Which action is performed in this video?,Combing hair,Playing games,Taking medicine,Walking,D,user8
